subject,task,segment_label,start_s,end_s,velocity_kmh,status,marker_ik,n_frames
etsuko,rgs,rgs_flexion,114.357,115.857,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_rgs_rgs_flexion_marker_ik_114.36_115.86.mot,151
etsuko,rgs,rgs_abduction,178.981,180.481,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_rgs_rgs_abduction_marker_ik_178.98_180.48.mot,151
etsuko,rgs,rgs_stork,296.169,297.669,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_rgs_rgs_stork_marker_ik_296.17_297.67.mot,151
gregers,ng,ng_v0,5.58,7.08,3.05,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_ng_ng_v0_marker_ik_5.58_7.08.mot,151
gregers,ng,ng_v1,81.5,83.0,3.59,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_ng_ng_v1_marker_ik_81.50_83.00.mot,151
gregers,ng,ng_v2,101.54,103.04,4.09,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_ng_ng_v2_marker_ik_101.54_103.04.mot,151
gregers,gwo,gwo_v0,4.15,5.65,3.04,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_gwo_gwo_v0_marker_ik_4.15_5.65.mot,151
gregers,gwo,gwo_v1,36.76,38.26,3.56,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_gwo_gwo_v1_marker_ik_36.76_38.26.mot,151
gregers,gwo,gwo_v2,66.39,67.89,4.07,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_gwo_gwo_v2_marker_ik_66.39_67.89.mot,151
gregers,rd,rd_correct,23.099,24.599,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_rd_rd_correct_marker_ik_23.10_24.60.mot,151
gregers,rd,rd_toes,63.724,65.22399999999999,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_rd_rd_toes_marker_ik_63.72_65.22.mot,151
gregers,rd,rd_supination,101.907,103.407,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_rd_rd_supination_marker_ik_101.91_103.41.mot,151
gregers,rd,rd_pronation,148.038,149.538,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_rd_rd_pronation_marker_ik_148.04_149.54.mot,151
gregers,rgs,rgs_correct,18.073,19.573,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_rgs_rgs_correct_marker_ik_18.07_19.57.mot,151
gregers,rgs,rgs_flexion,92.002,93.502,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_rgs_rgs_flexion_marker_ik_92.00_93.50.mot,151
gregers,rgs,rgs_abduction,171.819,173.319,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_rgs_rgs_abduction_marker_ik_171.82_173.32.mot,151
gregers,rgs,rgs_stork,253.105,254.605,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/gregers_rgs_rgs_stork_marker_ik_253.10_254.60.mot,151
hamit,ng,ng_v0,13.28,14.78,4.07,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/hamit_ng_ng_v0_marker_ik_13.28_14.78.mot,151
hamit,ng,ng_v1,45.56,47.06,4.59,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/hamit_ng_ng_v1_marker_ik_45.56_47.06.mot,151
hamit,ng,ng_v2,75.55,77.05,5.13,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/hamit_ng_ng_v2_marker_ik_75.55_77.05.mot,151
hamit,gwo,gwo_v0,8.13,9.63,4.08,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/hamit_gwo_gwo_v0_marker_ik_8.13_9.63.mot,151
hamit,gwo,gwo_v1,49.29,50.79,4.6,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/hamit_gwo_gwo_v1_marker_ik_49.29_50.79.mot,151
hamit,gwo,gwo_v2,78.95,80.45,5.14,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/hamit_gwo_gwo_v2_marker_ik_78.95_80.45.mot,151
hamit,rd,rd_correct,39.659,41.159,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/hamit_rd_rd_correct_marker_ik_39.66_41.16.mot,151
